[ERROR] [2017-05-08 10:23:26,875] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 10:24:28,719] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 10:25:02,158] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:05,313] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are not this hardware
[ERROR] [2017-05-08 13:26:05,320] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,284] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:06,285] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,285] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,285] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,285] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,285] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,286] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,286] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,286] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,286] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:06,286] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,529] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:07,530] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
